1649244567.002935,0
1649244567.104990,0
1649244567.208942,0
1649244567.310656,0
1649244567.416261,0
1649244567.518919,0
1649244567.623863,0
1649244567.726766,0
1649244567.832053,0
1649244567.936048,0
1649244568.038200,24
1649244568.143049,40
1649244568.246291,57
1649244568.350344,64
1649244568.455080,47
1649244568.558898,30
1649244568.660706,16
1649244568.762796,18
1649244568.865793,35
1649244568.967600,53
1649244569.070713,70
1649244569.174617,54
1649244569.279128,40
1649244569.383176,22
1649244569.486245,0
1649244569.589633,30
1649244569.691148,48
1649244569.792891,64
1649244569.897694,58
1649244569.999123,41
1649244570.102883,24
1649244570.206881,7
1649244570.308279,0
1649244570.409867,0
1649244570.512328,0
1649244570.614546,0
1649244570.716268,0
1649244570.819130,0
1649244570.921429,0
1649244571.023193,0
